LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
SOUKOU  SOUKOU;;;;;;;ABENGOUROU;ZARANOU
ZARANOU 1 ET 2;;;;;;;ABENGOUROU;ZARANOU
ZARANOU 3;;;;;;;ABENGOUROU;ZARANOU
ZARANOU 4;;;;;;;ABENGOUROU;ZARANOU
ZARANOU 5;;;;;;;ABENGOUROU;ZARANOU
AMON D ABY CATHERINE;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
CAMP MILITAIRE ABIDJAN 1;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
CITE POLICIERE;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
MATERNELLE COMMANDEMENT SUPERIEUR;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
MATERNELLE CROIX ROUGE;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
MATERNELLE GALLIENI;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
MATERNELLE MUNICIPALE ABIDJAN 1;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
RAN PLATEAU;;;;;;;ABIDJAN 1;ABIDJAN PLATEAU
220 LOGEMENTS;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
CHATEAU;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
DIA KOUAKOU;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
EVEIL;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
HABITAT ABIDJAN 1;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
JEAN PORQUET;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
LIBERTE;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
PAILLER;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
ROLAND CISSE;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
SODECI  ZONE NORD;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
WILLIAMSVILLE;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
YOUSSOUF SYLLA;;;;;;;ABIDJAN 1;ADJAME 220 LOGEMENTS
AVENUE DE LA BIA;;;;;;;ABIDJAN 1;ADJAME MUNICIPALITE
HARRIS RAYMOND DESCLERCS;;;;;;;ABIDJAN 1;ADJAME MUNICIPALITE
MUNICIPALITE ADJAME;;;;;;;ABIDJAN 1;ADJAME MUNICIPALITE
PRESCOLAIRE MUNICIPALITE ABIDJAN 1;;;;;;;ABIDJAN 1;ADJAME MUNICIPALITE
SATIGUI SANGARE;;;;;;;ABIDJAN 1;ADJAME MUNICIPALITE
YACE PHILLIPE ATTOUMBRE;;;;;;;ABIDJAN 1;ADJAME MUNICIPALITE
AKOUEDO VILLAGE;;;;;;;ABIDJAN 1;AKOUEDO
ANONO;;;;;;;ABIDJAN 1;AKOUEDO
K. OESTREM;;;;;;;ABIDJAN 1;AKOUEDO
LES COTEAUX;;;;;;;ABIDJAN 1;AKOUEDO
ABATTA;;;;;;;ABIDJAN 1;BINGERVILLE
ACHOKOI;;;;;;;ABIDJAN 1;BINGERVILLE
ADJAME BINGERVILLE;;;;;;;ABIDJAN 1;BINGERVILLE
ADJIN;;;;;;;ABIDJAN 1;BINGERVILLE
AGBAN;;;;;;;ABIDJAN 1;BINGERVILLE
AGRICULTURE;;;;;;;ABIDJAN 1;BINGERVILLE
AKANDJE;;;;;;;ABIDJAN 1;BINGERVILLE
AKOUAI SANTE;;;;;;;ABIDJAN 1;BINGERVILLE
AKOUEDO ATTIE;;;;;;;ABIDJAN 1;BINGERVILLE
AKOYATE;;;;;;;ABIDJAN 1;BINGERVILLE
ANADER;;;;;;;ABIDJAN 1;BINGERVILLE
ANAN;;;;;;;ABIDJAN 1;BINGERVILLE
APPLICATION;;;;;;;ABIDJAN 1;BINGERVILLE
BAGBA EXTENSION;;;;;;;ABIDJAN 1;BINGERVILLE
BAGBA NORD;;;;;;;ABIDJAN 1;BINGERVILLE
BAGBA SUD;;;;;;;ABIDJAN 1;BINGERVILLE
BLACHON;;;;;;;ABIDJAN 1;BINGERVILLE
BREGBO;;;;;;;ABIDJAN 1;BINGERVILLE
CARRIERE;;;;;;;ABIDJAN 1;BINGERVILLE
DE LA CELLE;;;;;;;ABIDJAN 1;BINGERVILLE
E M  EMPT;;;;;;;ABIDJAN 1;BINGERVILLE
ELOKA;;;;;;;ABIDJAN 1;BINGERVILLE
ELOKA PALMAFRIQUE;;;;;;;ABIDJAN 1;BINGERVILLE
ELOKATE;;;;;;;ABIDJAN 1;BINGERVILLE
KOFFIKRO BINGERVILLE;;;;;;;ABIDJAN 1;BINGERVILLE
M BATTO BOUAKE;;;;;;;ABIDJAN 1;BINGERVILLE
M PROMIN;;;;;;;ABIDJAN 1;BINGERVILLE
MARCELINE DJIKALOU;;;;;;;ABIDJAN 1;BINGERVILLE
MARCHOUX;;;;;;;ABIDJAN 1;BINGERVILLE
MATERNELLE SICOGI 1;;;;;;;ABIDJAN 1;BINGERVILLE
MUNICIPALITE BINGERVILLE;;;;;;;ABIDJAN 1;BINGERVILLE
PLATEAU;;;;;;;ABIDJAN 1;BINGERVILLE
RESIDENTIEL ABIDJAN 1;;;;;;;ABIDJAN 1;BINGERVILLE
SAVANE;;;;;;;ABIDJAN 1;BINGERVILLE
SEBIA YAO;;;;;;;ABIDJAN 1;BINGERVILLE
SICOGI;;;;;;;ABIDJAN 1;BINGERVILLE
AKOUEDO CAMP;;;;;;;ABIDJAN 1;COCODY AKOUEDO
CIAD PRIMO;;;;;;;ABIDJAN 1;COCODY AKOUEDO
