LIBELLE;CYCLE;N° COMPTE;DOMICILIATION;GROUPE SCOLAIRE;COMMUNE;REGION;DREN;IEPP
NEMATOULAYE;;;;;;;SOUBRE;BUYO 1
NICOLASKRO;;;;;;;SOUBRE;BUYO 1
NOEKRO;;;;;;;SOUBRE;BUYO 1
NOUFOUKRO;;;;;;;SOUBRE;BUYO 1
NOUKPOUDOU;;;;;;;SOUBRE;BUYO 1
OKAKRO BUYO 1;;;;;;;SOUBRE;BUYO 1
TCHETALY V1;;;;;;;SOUBRE;BUYO 1
TROFORKRO;;;;;;;SOUBRE;BUYO 1
WONSEALY V2  2 ;;;;;;;SOUBRE;BUYO 1
WONSEALY V2 1 3 ;;;;;;;SOUBRE;BUYO 1
ALLANGBAKRO BUYO 2;;;;;;;SOUBRE;BUYO 2
AMANI KONANKRO ;;;;;;;SOUBRE;BUYO 2
AMANIKRO 1A 1B ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
AWEKRAKRO;;;;;;;SOUBRE;BUYO 2
BELLEVILLE 1 2 ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
BOUHOUSSOUKRO;;;;;;;SOUBRE;BUYO 2
DAPEOUA 1 2 3 ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
DIOULABOUGOUKROA;;;;;;;SOUBRE;BUYO 2
DOUE PASCAL 1 2;;;;;;;SOUBRE;BUYO 2
GBATINA;;;;;;;SOUBRE;BUYO 2
GNAGBOYA V4  A B ET TOURE MASSANDJE;;;;;;;SOUBRE;BUYO 2
GNAMBEKRO;;;;;;;SOUBRE;BUYO 2
GRIBOUO 1 2 ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
HEREDOUGOU;;;;;;;SOUBRE;BUYO 2
IRIGOPLA;;;;;;;SOUBRE;BUYO 2
JEANKOUAMEKRO;;;;;;;SOUBRE;BUYO 2
KODAYA  V5  B;;;;;;;SOUBRE;BUYO 2
KODAYA V5  A;;;;;;;SOUBRE;BUYO 2
KOFFIKONANKRO;;;;;;;SOUBRE;BUYO 2
KOUADIO KOFFIKRO;;;;;;;SOUBRE;BUYO 2
KOUASSIANTOINEKRO;;;;;;;SOUBRE;BUYO 2
LABRIE;;;;;;;SOUBRE;BUYO 2
LAMINEDOUGOU;;;;;;;SOUBRE;BUYO 2
LOBO 2;;;;;;;SOUBRE;BUYO 2
LOBOVILLE A B C ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
MADOUKRO;;;;;;;SOUBRE;BUYO 2
MEKOFFIKRO 1 2 3 ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
PETIT KONAHIRI;;;;;;;SOUBRE;BUYO 2
SAGBOYA  V6  A B ET MATERNELLE;;;;;;;SOUBRE;BUYO 2
SAGBOYA 3;;;;;;;SOUBRE;BUYO 2
SIASSAKRO;;;;;;;SOUBRE;BUYO 2
TAPEGUHE AVIATION;;;;;;;SOUBRE;BUYO 2
TOTOKOUAMEKRO;;;;;;;SOUBRE;BUYO 2
TRAWLINKRO  V8  1 2;;;;;;;SOUBRE;BUYO 2
WANDREKRO;;;;;;;SOUBRE;BUYO 2
ZADIKRO;;;;;;;SOUBRE;BUYO 2
ALIDOUGOU;;;;;;;SOUBRE;GRAND ZATTRY
ARRAH KONANKRO;;;;;;;SOUBRE;GRAND ZATTRY
BADADOUGOU;;;;;;;SOUBRE;GRAND ZATTRY
BAGOLIEOUA 1 3 ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
BAGOLIEOUA 2;;;;;;;SOUBRE;GRAND ZATTRY
BAKARIDOUGOU 1;;;;;;;SOUBRE;GRAND ZATTRY
BANDAMAKRO ZATTRY;;;;;;;SOUBRE;GRAND ZATTRY
BLESSEOUA 1 2;;;;;;;SOUBRE;GRAND ZATTRY
BRUNOKRO;;;;;;;SOUBRE;GRAND ZATTRY
CHANTIER;;;;;;;SOUBRE;GRAND ZATTRY
CHARLES BAUZA DONWAHI;;;;;;;SOUBRE;GRAND ZATTRY
DIEZOUKRO;;;;;;;SOUBRE;GRAND ZATTRY
FATAMAN;;;;;;;SOUBRE;GRAND ZATTRY
GABAGUHE;;;;;;;SOUBRE;GRAND ZATTRY
GADAGO;;;;;;;SOUBRE;GRAND ZATTRY
GBALEGUHE;;;;;;;SOUBRE;GRAND ZATTRY
GBALEOUA 1 2 ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
GBAZOA 1 2;;;;;;;SOUBRE;GRAND ZATTRY
GBISSO;;;;;;;SOUBRE;GRAND ZATTRY
GOUABOUO;;;;;;;SOUBRE;GRAND ZATTRY
GOUGOUEOUA;;;;;;;SOUBRE;GRAND ZATTRY
GRAND ZATTRY 1 A ET B ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
GRAND ZATTRY 2A  B ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
GRAND ZATTRY 3 ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
GRAND ZATTRY KFW ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
JEAN KOUASSI;;;;;;;SOUBRE;GRAND ZATTRY
JEANNOTKRO;;;;;;;SOUBRE;GRAND ZATTRY
KEDJEBOKRO;;;;;;;SOUBRE;GRAND ZATTRY
KEITADOUGOU;;;;;;;SOUBRE;GRAND ZATTRY
KIPIRI 1ET 2;;;;;;;SOUBRE;GRAND ZATTRY
KOFFIKRO;;;;;;;SOUBRE;GRAND ZATTRY
KOREGUHE;;;;;;;SOUBRE;GRAND ZATTRY
KOTABLEOUA;;;;;;;SOUBRE;GRAND ZATTRY
KOUAKOUKRO GRAND ZATTRY;;;;;;;SOUBRE;GRAND ZATTRY
KOUAME JOSEPHKRO;;;;;;;SOUBRE;GRAND ZATTRY
KOUASSIKRO;;;;;;;SOUBRE;GRAND ZATTRY
KRAKRO;;;;;;;SOUBRE;GRAND ZATTRY
LAKAWEKRO;;;;;;;SOUBRE;GRAND ZATTRY
LAZOA;;;;;;;SOUBRE;GRAND ZATTRY
MAHIEOUA;;;;;;;SOUBRE;GRAND ZATTRY
MAVOU ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
OUREYO 1ET2;;;;;;;SOUBRE;GRAND ZATTRY
OUREYO 3;;;;;;;SOUBRE;GRAND ZATTRY
PARC SOU 1  2ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
PETIT GOA A B ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
PIERREKRO;;;;;;;SOUBRE;GRAND ZATTRY
ROA 1 2 ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
SERIBOUO;;;;;;;SOUBRE;GRAND ZATTRY
SERIDOUGOU;;;;;;;SOUBRE;GRAND ZATTRY
SERIGBANGAN ZATTRY;;;;;;;SOUBRE;GRAND ZATTRY
SOKOZOA 1 2;;;;;;;SOUBRE;GRAND ZATTRY
SOUANGANKOUAMEKRO;;;;;;;SOUBRE;GRAND ZATTRY
TABOGUHE;;;;;;;SOUBRE;GRAND ZATTRY
TCHETCHEKRO;;;;;;;SOUBRE;GRAND ZATTRY
YAOBAKANKRO;;;;;;;SOUBRE;GRAND ZATTRY
ZADEGUHE;;;;;;;SOUBRE;GRAND ZATTRY
ZAKUEOUA 1 ET MATERNELLE;;;;;;;SOUBRE;GRAND ZATTRY
ZAKUEOUA 2 3;;;;;;;SOUBRE;GRAND ZATTRY
ZOUGOUZOA 1 2;;;;;;;SOUBRE;GRAND ZATTRY
AKROUYAOKRO;;;;;;;SOUBRE;GUEYO
ALIKRO;;;;;;;SOUBRE;GUEYO
ATTIEGOUAKRO;;;;;;;SOUBRE;GUEYO
BAKADOU 1 2;;;;;;;SOUBRE;GUEYO
BAKAYO;;;;;;;SOUBRE;GUEYO
BALEKO 1 2;;;;;;;SOUBRE;GUEYO
BANDAMAKRO GUEYO;;;;;;;SOUBRE;GUEYO
BERNARDKRO;;;;;;;SOUBRE;GUEYO
BOBOUO 1;;;;;;;SOUBRE;GUEYO
BOBOUO 2;;;;;;;SOUBRE;GUEYO
BOHOUSSOUKRO GUEYO;;;;;;;SOUBRE;GUEYO
BRETIHIO;;;;;;;SOUBRE;GUEYO
BROUKRO GUEYO;;;;;;;SOUBRE;GUEYO
DABOUYO 1;;;;;;;SOUBRE;GUEYO
DABOUYO 2;;;;;;;SOUBRE;GUEYO
DABOUYO 3A3B;;;;;;;SOUBRE;GUEYO
DAGOUAYO;;;;;;;SOUBRE;GUEYO
DJAMALAKRO;;;;;;;SOUBRE;GUEYO
DJEGNADOU 12;;;;;;;SOUBRE;GUEYO
GODIAYO 1;;;;;;;SOUBRE;GUEYO
GOLKOUADIOKRO;;;;;;;SOUBRE;GUEYO
GUEYO 12 ET MATERNELLE;;;;;;;SOUBRE;GUEYO
GUEYO 4;;;;;;;SOUBRE;GUEYO
GUEYO MUNICIPAL;;;;;;;SOUBRE;GUEYO
HENRIKRO;;;;;;;SOUBRE;GUEYO
JBKRO;;;;;;;SOUBRE;GUEYO
KONANKRO GUEYO;;;;;;;SOUBRE;GUEYO
KONDOKRO;;;;;;;SOUBRE;GUEYO
KOSSOYO;;;;;;;SOUBRE;GUEYO
KOUADIOKRO GUEYO;;;;;;;SOUBRE;GUEYO
KOUAKOUKRO GUEYO;;;;;;;SOUBRE;GUEYO
KOUAMEKRO GUEYO;;;;;;;SOUBRE;GUEYO
LAKOTA CARREFOUR;;;;;;;SOUBRE;GUEYO
LAOURIDOU;;;;;;;SOUBRE;GUEYO
LAZARDKRO;;;;;;;SOUBRE;GUEYO
LELLAKRO;;;;;;;SOUBRE;GUEYO
LEONARKRO;;;;;;;SOUBRE;GUEYO
LUCIENKRO;;;;;;;SOUBRE;GUEYO
MARTINKRO GUEYO;;;;;;;SOUBRE;GUEYO
MATERNELLE GUEYO MUNICIPAL;;;;;;;SOUBRE;GUEYO
N DRIKRO GUEYO;;;;;;;SOUBRE;GUEYO
N ZUEKRO;;;;;;;SOUBRE;GUEYO
NAMOUEDANOU;;;;;;;SOUBRE;GUEYO
NIANKOUKOUASSIKRO;;;;;;;SOUBRE;GUEYO
NIOROUHIO 1 2;;;;;;;SOUBRE;GUEYO
NIOROUHIO BARRAGE;;;;;;;SOUBRE;GUEYO
NIOROUHIO BLOC;;;;;;;SOUBRE;GUEYO
OKOUKRO;;;;;;;SOUBRE;GUEYO
PAULKRO;;;;;;;SOUBRE;GUEYO
PETIT BONDOUKOU 1 2;;;;;;;SOUBRE;GUEYO
PETIT BOUNDIALI GUEYO;;;;;;;SOUBRE;GUEYO
R ESIDENTIEL 1 2;;;;;;;SOUBRE;GUEYO
SALIFOUKROU;;;;;;;SOUBRE;GUEYO
SKG BODOUYO BLOC;;;;;;;SOUBRE;GUEYO
TAGBAYO 1;;;;;;;SOUBRE;GUEYO
TAGBAYO 2;;;;;;;SOUBRE;GUEYO
TAGBAYO DIOULABOUGOU;;;;;;;SOUBRE;GUEYO
TANOKRO;;;;;;;SOUBRE;GUEYO
TASSEREKRO;;;;;;;SOUBRE;GUEYO
TIDIANEKRO;;;;;;;SOUBRE;GUEYO
TOUREKRO;;;;;;;SOUBRE;GUEYO
WENEDOUGOU;;;;;;;SOUBRE;GUEYO
YAOKOUADIOKRO;;;;;;;SOUBRE;GUEYO
YAOKOUASSIKRO;;;;;;;SOUBRE;GUEYO
YOBOUETKOUASSIKRO;;;;;;;SOUBRE;GUEYO
ZIMOCOULIBALIKRO;;;;;;;SOUBRE;GUEYO
ZIOUAHIO;;;;;;;SOUBRE;GUEYO
ZIOUAHIO BANFORA;;;;;;;SOUBRE;GUEYO
ZOHOURAYO;;;;;;;SOUBRE;GUEYO
AGNIKRO;;;;;;;SOUBRE;MAYO
ALLANGBAKRO MAYO;;;;;;;SOUBRE;MAYO
ALLASSANEKRO;;;;;;;SOUBRE;MAYO
BABAEROUA;;;;;;;SOUBRE;MAYO
BAKAYO 1 2 ET MATERNELLE;;;;;;;SOUBRE;MAYO
BAKAYO DIOULABOUGOU;;;;;;;SOUBRE;MAYO
BANASSOUKRO;;;;;;;SOUBRE;MAYO
BLICOLO GNOGBOBOYO KFW;;;;;;;SOUBRE;MAYO
BOTE ZADI;;;;;;;SOUBRE;MAYO
DEGAULEKRO;;;;;;;SOUBRE;MAYO
GNAPAYO;;;;;;;SOUBRE;MAYO
GNOGBOYO;;;;;;;SOUBRE;MAYO
KODA   MATERNELLE;;;;;;;SOUBRE;MAYO
KOMEAYO;;;;;;;SOUBRE;MAYO
KONANKRO;;;;;;;SOUBRE;MAYO
KONEDOUGOU 2;;;;;;;SOUBRE;MAYO
KOUADIOKRO MAYO;;;;;;;SOUBRE;MAYO
KOUAMEKRO MAYO;;;;;;;SOUBRE;MAYO
KOUASSI LAZAREKRO;;;;;;;SOUBRE;MAYO
KOZIAYO A  B ET MATERNELLE;;;;;;;SOUBRE;MAYO
LAMINEKRO;;;;;;;SOUBRE;MAYO
LAZOA CARREFOUR;;;;;;;SOUBRE;MAYO
LESIRI 1  2 3 ET MATERNELLE;;;;;;;SOUBRE;MAYO
LESSIRI 4;;;;;;;SOUBRE;MAYO
LESSIRI 5;;;;;;;SOUBRE;MAYO
LILIYO 1 2 ET MATERNELLE;;;;;;;SOUBRE;MAYO
LILIYO 3;;;;;;;SOUBRE;MAYO
MADOU SAHOUA 1  4 ET MATERNELLE;;;;;;;SOUBRE;MAYO
MADOU SAHOUA 2 ET 3;;;;;;;SOUBRE;MAYO
MARCKRO;;;;;;;SOUBRE;MAYO
MOUSSAYO 1 2 3 ET MATERNELLE;;;;;;;SOUBRE;MAYO
N ZUEKOFFIKRO;;;;;;;SOUBRE;MAYO
NENEFEROUA 1 2;;;;;;;SOUBRE;MAYO
OUREGBABOUO 1;;;;;;;SOUBRE;MAYO
OUREGBABOUO 2;;;;;;;SOUBRE;MAYO
PETIT BEOUMI;;;;;;;SOUBRE;MAYO
PETIT BOUAKE MAYO;;;;;;;SOUBRE;MAYO
PETIT YAMOUSSOUKRO MAYO;;;;;;;SOUBRE;MAYO
SAYO;;;;;;;SOUBRE;MAYO
YACOLI BAD;;;;;;;SOUBRE;MAYO
YACOLI KFW;;;;;;;SOUBRE;MAYO
YACOLO 1 2 3 ET MATERNELLE;;;;;;;SOUBRE;MAYO
ZAHI;;;;;;;SOUBRE;MAYO
ZOREAYO A ET B;;;;;;;SOUBRE;MAYO
ABODAKRO;;;;;;;SOUBRE;MEAGUI
ABOKOUAMEKRO;;;;;;;SOUBRE;MEAGUI
AHOUTOUKRO;;;;;;;SOUBRE;MEAGUI
AKLOMIABLA;;;;;;;SOUBRE;MEAGUI
ALLANGBAGUI;;;;;;;SOUBRE;MEAGUI
ANOKRO 1 2;;;;;;;SOUBRE;MEAGUI
ASSAWUEKRO;;;;;;;SOUBRE;MEAGUI
ASSOUEKOUADIOKRO;;;;;;;SOUBRE;MEAGUI
BROBO 2;;;;;;;SOUBRE;MEAGUI
DARES SALAM;;;;;;;SOUBRE;MEAGUI
DEUXHEURESKRO;;;;;;;SOUBRE;MEAGUI
EDMOND;;;;;;;SOUBRE;MEAGUI
ENTENTE;;;;;;;SOUBRE;MEAGUI
GBLAGBANOUKRO;;;;;;;SOUBRE;MEAGUI
GBOGBO;;;;;;;SOUBRE;MEAGUI
GNANGOMIAN;;;;;;;SOUBRE;MEAGUI
GNITITOUADJI 1;;;;;;;SOUBRE;MEAGUI
GNITITOUADJI 2;;;;;;;SOUBRE;MEAGUI
GUIGBAGUI;;;;;;;SOUBRE;MEAGUI
IPOU N DRIKRO;;;;;;;SOUBRE;MEAGUI
ISSAKRO 1;;;;;;;SOUBRE;MEAGUI
JACQUEVILLE 2;;;;;;;SOUBRE;MEAGUI
JOELKRO;;;;;;;SOUBRE;MEAGUI
KAKADJEKRO;;;;;;;SOUBRE;MEAGUI
KOFFIAGUI;;;;;;;SOUBRE;MEAGUI
KONAN DANKRO;;;;;;;SOUBRE;MEAGUI
KONAN KOUAKOUKRO;;;;;;;SOUBRE;MEAGUI
KONANKRO 1;;;;;;;SOUBRE;MEAGUI
KOUADIOBAKRO;;;;;;;SOUBRE;MEAGUI
KOUAME N GUESSANKRO;;;;;;;SOUBRE;MEAGUI
KOUASSI  KOUAMEKRO;;;;;;;SOUBRE;MEAGUI
KOUASSI KOFFIKRO;;;;;;;SOUBRE;MEAGUI
KOUASSI LENOIREKRO;;;;;;;SOUBRE;MEAGUI
KRA KOFFIKRO;;;;;;;SOUBRE;MEAGUI
KRAGUI;;;;;;;SOUBRE;MEAGUI
KROHON;;;;;;;SOUBRE;MEAGUI
LAZAREKRO;;;;;;;SOUBRE;MEAGUI
LIBREVILLE;;;;;;;SOUBRE;MEAGUI
MATERNELLE MUNICIPALIT E;;;;;;;SOUBRE;MEAGUI
MATERNELLE TOUADJI 1;;;;;;;SOUBRE;MEAGUI
MEAGUI 1 2 5 7 ET MATERNELLE;;;;;;;SOUBRE;MEAGUI
MEAGUI 3  4;;;;;;;SOUBRE;MEAGUI
MEAGUI 6;;;;;;;SOUBRE;MEAGUI
MEAGUI EST;;;;;;;SOUBRE;MEAGUI
MIANGADOUGOU;;;;;;;SOUBRE;MEAGUI
N DOLIKRO;;;;;;;SOUBRE;MEAGUI
N DRIKRO MEAGUI;;;;;;;SOUBRE;MEAGUI
N GUESSANGUI;;;;;;;SOUBRE;MEAGUI
NEGREAGUI;;;;;;;SOUBRE;MEAGUI
NORBERT CARREFOUR;;;;;;;SOUBRE;MEAGUI
OUMARKRO;;;;;;;SOUBRE;MEAGUI
PETIT YAMOUSSOUKRO MEAGUI;;;;;;;SOUBRE;MEAGUI
POGREAGUI;;;;;;;SOUBRE;MEAGUI
QUARTIER KATO  A B;;;;;;;SOUBRE;MEAGUI
QUARTIER NETRO;;;;;;;SOUBRE;MEAGUI
QUARTIER SOLEIL;;;;;;;SOUBRE;MEAGUI
RAPHAËLKRO 2;;;;;;;SOUBRE;MEAGUI
SARE;;;;;;;SOUBRE;MEAGUI
SAREAGUI;;;;;;;SOUBRE;MEAGUI
SERIGBANGAN MEAGUI;;;;;;;SOUBRE;MEAGUI
SOKOURA;;;;;;;SOUBRE;MEAGUI
SOULEYMANEKRO;;;;;;;SOUBRE;MEAGUI
TAGBA;;;;;;;SOUBRE;MEAGUI
TCHEBAKRO;;;;;;;SOUBRE;MEAGUI
TEKE KOUAMEKRO;;;;;;;SOUBRE;MEAGUI
TEREAGUI 1;;;;;;;SOUBRE;MEAGUI
TEREAGUI 2;;;;;;;SOUBRE;MEAGUI
TOUADJI 1 A   1B   MATERNELLE;;;;;;;SOUBRE;MEAGUI
TOUADJI 2 A   2B   MATERNELLE;;;;;;;SOUBRE;MEAGUI
TOUANIE;;;;;;;SOUBRE;MEAGUI
VILLAGE MOH 1;;;;;;;SOUBRE;MEAGUI
VILLAGE MOH 2;;;;;;;SOUBRE;MEAGUI
YADANKRO;;;;;;;SOUBRE;MEAGUI
YAYA CARREFOUR;;;;;;;SOUBRE;MEAGUI
YOBOUEAGUI;;;;;;;SOUBRE;MEAGUI
ZONGOKRO;;;;;;;SOUBRE;MEAGUI
4 CARREFOURS;;;;;;;SOUBRE;OKROUYO
ABRIGAKRO;;;;;;;SOUBRE;OKROUYO
AGBANOU;;;;;;;SOUBRE;OKROUYO
AKOUMIAKRO;;;;;;;SOUBRE;OKROUYO
AKREKRO;;;;;;;SOUBRE;OKROUYO
AMANIKRO;;;;;;;SOUBRE;OKROUYO
ANTOINEKRO;;;;;;;SOUBRE;OKROUYO
ASSIOBLEDI;;;;;;;SOUBRE;OKROUYO
BALAIKRO;;;;;;;SOUBRE;OKROUYO
BARTHELEMYKRO;;;;;;;SOUBRE;OKROUYO
BERNARDKRO 1 2   MATERNELLE;;;;;;;SOUBRE;OKROUYO
BERTINKRO;;;;;;;SOUBRE;OKROUYO
BOGREKO;;;;;;;SOUBRE;OKROUYO
BROU N GUESSANKRO;;;;;;;SOUBRE;OKROUYO
COULIBALYDOUGOU;;;;;;;SOUBRE;OKROUYO
DJAMALAKRO;;;;;;;SOUBRE;OKROUYO
DOBOUO 1 2;;;;;;;SOUBRE;OKROUYO
DOGABRE;;;;;;;SOUBRE;OKROUYO
EMILEKRO;;;;;;;SOUBRE;OKROUYO
ERNESTKRO;;;;;;;SOUBRE;OKROUYO
GBADAKOUAMEKRO   MATERNELLE;;;;;;;SOUBRE;OKROUYO
GBADAKRO;;;;;;;SOUBRE;OKROUYO
GBLIYO;;;;;;;SOUBRE;OKROUYO
GRAGBAZO;;;;;;;SOUBRE;OKROUYO
GREBOUO GUIBOUO;;;;;;;SOUBRE;OKROUYO
GUEDEYO OTTAWA  MATERNELLE ;;;;;;;SOUBRE;OKROUYO
GUEDEYO SODEPALM 1 2 3 4   MATERNELLE;;;;;;;SOUBRE;OKROUYO
GUIMEYO 1 2;;;;;;;SOUBRE;OKROUYO
IPOUSIALOUKRO;;;;;;;SOUBRE;OKROUYO
ISSABALODOUGOU;;;;;;;SOUBRE;OKROUYO
JULESKRO 1 2   MATERNELLE;;;;;;;SOUBRE;OKROUYO
KAGNENAKO 1 2;;;;;;;SOUBRE;OKROUYO
KAOKA;;;;;;;SOUBRE;OKROUYO
KAYO;;;;;;;SOUBRE;OKROUYO
KAYO PETIT BOUGOUNI;;;;;;;SOUBRE;OKROUYO
KOUAKOUDANKRO;;;;;;;SOUBRE;OKROUYO
KOUAKOUKRO GUIBOUO;;;;;;;SOUBRE;OKROUYO
KOUASSI N GUESSANKRO;;;;;;;SOUBRE;OKROUYO
KOUASSIKANKRO;;;;;;;SOUBRE;OKROUYO
KOUDOUYO   MATERNELLE;;;;;;;SOUBRE;OKROUYO
KPADA 1 2 3   MATERNELLE;;;;;;;SOUBRE;OKROUYO
KRAYAOKRO;;;;;;;SOUBRE;OKROUYO
LADJIKRO;;;;;;;SOUBRE;OKROUYO
LIGUIYO GBALEBOUO   MATERNELLE;;;;;;;SOUBRE;OKROUYO
MABEHIRI 1;;;;;;;SOUBRE;OKROUYO
MABEHIRI 2;;;;;;;SOUBRE;OKROUYO
MARTINKRO OKROUYO;;;;;;;SOUBRE;OKROUYO
MATERNELLE SIPEFCI ESPOIR;;;;;;;SOUBRE;OKROUYO
MATHIEUKRO;;;;;;;SOUBRE;OKROUYO
MONINKRO;;;;;;;SOUBRE;OKROUYO
MOUSSABARRODOUGOU;;;;;;;SOUBRE;OKROUYO
N DAKRO;;;;;;;SOUBRE;OKROUYO
N GORANKRO;;;;;;;SOUBRE;OKROUYO
N GUESSANKONANKRO;;;;;;;SOUBRE;OKROUYO
OKAKRO OKROUYO;;;;;;;SOUBRE;OKROUYO
OKROUYO 1 2 3 4 5   MATERNELLE;;;;;;;SOUBRE;OKROUYO
OKROUYO SODEPALM 1 2   MATERNELLE;;;;;;;SOUBRE;OKROUYO
OUPOYO GUIBOUO 1 2;;;;;;;SOUBRE;OKROUYO
PETIT BOUAKE OKROUYO;;;;;;;SOUBRE;OKROUYO
ROBERTKRO;;;;;;;SOUBRE;OKROUYO
SIPEFCI 4;;;;;;;SOUBRE;OKROUYO
TAYO   MATERNELLE;;;;;;;SOUBRE;OKROUYO
TOLLAKRO 1 2;;;;;;;SOUBRE;OKROUYO
TREKETREKEKRO;;;;;;;SOUBRE;OKROUYO
V3 D OKROUYO;;;;;;;SOUBRE;OKROUYO
YOBOUEKRO;;;;;;;SOUBRE;OKROUYO
ZOGBODOUA 1 2   MATERNELLE;;;;;;;SOUBRE;OKROUYO
ABEHONKRO;;;;;;;SOUBRE;OUPOYO
ADAMAKRO;;;;;;;SOUBRE;OUPOYO
ADONKRO 2;;;;;;;SOUBRE;OUPOYO
AGBAKONANBLEKRO;;;;;;;SOUBRE;OUPOYO
AKOUEKOUADIOKRO;;;;;;;SOUBRE;OUPOYO
ALLAKRO;;;;;;;SOUBRE;OUPOYO
ALLOUKOUAMEKRO;;;;;;;SOUBRE;OUPOYO
AMANI KOUAKOUKRO;;;;;;;SOUBRE;OUPOYO
AMANIKOUADIOKRO;;;;;;;SOUBRE;OUPOYO
AMANIKOUAKOUKRO;;;;;;;SOUBRE;OUPOYO
AMDOULAYE;;;;;;;SOUBRE;OUPOYO
ANASSOU CARREFOUR 1 2;;;;;;;SOUBRE;OUPOYO
ANGBIKOUAKOUKRO;;;;;;;SOUBRE;OUPOYO
ASSOUMANKRO;;;;;;;SOUBRE;OUPOYO
AZOUMANANKRO 1 2   MATERNELLE;;;;;;;SOUBRE;OUPOYO
BLAKOUAMEKRO ;;;;;;;SOUBRE;OUPOYO
BLEDOUKANGAKRO;;;;;;;SOUBRE;OUPOYO
BOBOKRO;;;;;;;SOUBRE;OUPOYO
BOMBALA;;;;;;;SOUBRE;OUPOYO
BRAHIMAKRO;;;;;;;SOUBRE;OUPOYO
BROU KOFFIKRO;;;;;;;SOUBRE;OUPOYO
BROUKRO OUPOYO;;;;;;;SOUBRE;OUPOYO
CACAOKRO;;;;;;;SOUBRE;OUPOYO
CEDAR;;;;;;;SOUBRE;OUPOYO
CHANTIER JOHIN   MATERNELLE;;;;;;;SOUBRE;OUPOYO
DEGAULLEKRO;;;;;;;SOUBRE;OUPOYO
EFACI 2;;;;;;;SOUBRE;OUPOYO
ETIENNEKRO 1 2;;;;;;;SOUBRE;OUPOYO
FOTOKOUAKOUAKRO;;;;;;;SOUBRE;OUPOYO
GLETIA1 2;;;;;;;SOUBRE;OUPOYO
GNAKOREADJI   MATERNELLE;;;;;;;SOUBRE;OUPOYO
GNIPI 2A B;;;;;;;SOUBRE;OUPOYO
GOBEKRO;;;;;;;SOUBRE;OUPOYO
GUIEAGUI;;;;;;;SOUBRE;OUPOYO
GUIRE;;;;;;;SOUBRE;OUPOYO
HANAGBA;;;;;;;SOUBRE;OUPOYO
ISSAKRO 2;;;;;;;SOUBRE;OUPOYO
KANGADJEKRO;;;;;;;SOUBRE;OUPOYO
KANGAGUI;;;;;;;SOUBRE;OUPOYO
KOMOEKOUAMEKRO;;;;;;;SOUBRE;OUPOYO
KONANBLEKRO A B;;;;;;;SOUBRE;OUPOYO
KOREAGUI;;;;;;;SOUBRE;OUPOYO
KOUADIOKRO 1;;;;;;;SOUBRE;OUPOYO
KOUADIOKRO 2;;;;;;;SOUBRE;OUPOYO
KOUAKOUBAKRO;;;;;;;SOUBRE;OUPOYO
KOUAMEKRAKRO;;;;;;;SOUBRE;OUPOYO
KOUPEROU;;;;;;;SOUBRE;OUPOYO
KPANGBANKRO 1 2;;;;;;;SOUBRE;OUPOYO
KRA N GUESSANKRO;;;;;;;SOUBRE;OUPOYO
LOUKOUKRO;;;;;;;SOUBRE;OUPOYO
M BRAKRO;;;;;;;SOUBRE;OUPOYO
MARCELINKRO;;;;;;;SOUBRE;OUPOYO
MOUSSAKRO;;;;;;;SOUBRE;OUPOYO
N DRIAGUI;;;;;;;SOUBRE;OUPOYO
N GUESSANGUI 2;;;;;;;SOUBRE;OUPOYO
N GUESSANKOUAKOUKRO 1 2;;;;;;;SOUBRE;OUPOYO
NOUVEAU QUARTIER;;;;;;;SOUBRE;OUPOYO
OUPAGUI;;;;;;;SOUBRE;OUPOYO
OUPOYO  3 4 6   MATERNELLE;;;;;;;SOUBRE;OUPOYO
OUPOYO 1 2 5 7;;;;;;;SOUBRE;OUPOYO
PETIT BONDOUKOU;;;;;;;SOUBRE;OUPOYO
PETIT DJENE;;;;;;;SOUBRE;OUPOYO
PETIT ODIENNE;;;;;;;SOUBRE;OUPOYO
PETIT TIEME A  B ET MATERNELLE;;;;;;;SOUBRE;OUPOYO
ROBERT PORTE;;;;;;;SOUBRE;OUPOYO
SARAKAKOUADIOKRO;;;;;;;SOUBRE;OUPOYO
SEYDOUKRO;;;;;;;SOUBRE;OUPOYO
VENIR VOIR;;;;;;;SOUBRE;OUPOYO
